iter	Passed	Remaining
0	83	417041
1	154	386089
2	219	366114
3	288	360101
4	360	360568
5	434	361655
6	531	379080
7	600	374675
8	670	371610
9	732	365638
10	798	361993
11	866	360012
12	959	368219
13	1023	364607
14	1088	361615
15	1150	358355
16	1215	356406
17	1284	355427
18	1388	364013
19	1461	363811
20	1528	362473
21	1608	363887
22	1681	363887
23	1759	364799
24	1854	369039
25	1926	368578
26	1997	367958
27	2061	366115
28	2130	365237
29	2194	363584
30	2288	366856
31	2352	365241
32	2415	363495
33	2478	362076
34	2545	361153
35	2617	360920
36	2716	364353
37	2784	363548
38	2855	363187
39	2928	363158
40	3015	364753
41	3091	364921
42	3200	368972
43	3237	364687
44	3308	364308
45	3374	363401
46	3444	362992
47	3510	362192
48	3576	361400
49	3687	365029
50	3757	364646
51	3835	364936
52	3912	365186
53	3985	365026
54	4058	364933
55	4166	367869
56	4272	370492
57	4365	371939
58	4442	372050
59	4528	372819
60	4615	373684
61	4740	377574
62	4821	377869
63	4895	377581
64	4973	377591
65	5047	377334
66	5123	377208
67	5236	379806
68	5312	379680
69	5384	379197
70	5465	379456
71	5543	379393
72	5633	380255
73	5748	382656
74	5831	382910
75	5898	382189
76	5963	381273
77	6061	382498
78	6149	383072
79	6257	384824
80	6325	384136
81	6395	383555
82	6474	383562
83	6550	383342
84	6625	383089
85	6751	385763
86	6838	386158
87	6911	385766
88	6979	385103
89	7041	384167
90	7108	383466
91	7203	384309
92	7268	383522
93	7336	382910
94	7400	382104
95	7465	381377
96	7528	380530
97	7626	381479
98	7710	381731
99	7794	381911
100	7872	381856
101	7941	381324
102	8020	381333
103	8150	383723
104	8226	383531
105	8300	383226
106	8378	383121
107	8465	383453
108	8537	383071
109	8608	382669
110	8684	382516
111	8748	381801
112	8810	381044
113	8874	380378
114	8937	379667
115	9007	379239
116	9119	380602
117	9203	380779
118	9240	379017
119	9314	378791
120	9400	379069
121	9488	379381
122	9572	379533
123	9673	380395
124	9756	380522
125	9838	380585
126	9914	380431
127	9986	380097
128	10048	379434
129	10143	379975
130	10185	378564
131	10252	378115
132	10337	378274
133	10422	378471
134	10496	378258
135	10570	378058
136	10707	380074
137	10804	380647
138	10881	380536
139	10929	379415
140	11003	379195
141	11077	378979
142	11158	379003
143	11281	380442
144	11347	379960
145	11411	379391
