feature,dtype,nonnull_count,nonnull_ratio,nunique,drop_reason,kept
возраст,int64,101,1.0,25,,True
Агр. Чувствит Арах. (0.5 мМ),float64,101,1.0,48,,True
Агр. Чувствит Арах.+АСК,float64,101,1.0,33,,True
Агрегация коллаген (2 мкг/мл),float64,54,0.5346534653465347,35,,True
Агрегация АДФ (5 мкМ),float64,55,0.5445544554455446,42,,True
Агрегация адреналин (10мкМ),float64,55,0.5445544554455446,42,,True
Гемостаз АЧТВ,float64,90,0.8910891089108911,62,,True
Гемостаз МНО,float64,90,0.8910891089108911,33,,True
Гемостаз Фибриноген,float64,89,0.8811881188118812,63,,True
ОАК лейкоциты,float64,101,1.0,94,,True
ОАК эритроциты,float64,101,1.0,75,,True
гемоглобин,float64,101,1.0,48,,True
гематокрит,float64,100,0.9900990099009901,72,,True
MCV,float64,100,0.9900990099009901,81,,True
MCH,float64,100,0.9900990099009901,51,,True
MCHC,float64,100,0.9900990099009901,44,,True
тромбоциты,float64,101,1.0,82,,True
нейтрофилы,float64,98,0.9702970297029703,87,,True
лимфоциты,float64,98,0.9702970297029703,83,,True
моноциты,float64,98,0.9702970297029703,56,,True
эозинофилы,float64,98,0.9702970297029703,41,,True
базофилы,float64,98,0.9702970297029703,12,,True
СОЭ,float64,93,0.9207920792079208,41,,True
БАК креатинин,float64,100,0.9900990099009901,55,,True
БАК мочевина,float64,100,0.9900990099009901,53,,True
АСТ,float64,100,0.9900990099009901,77,,True
АЛТ,float64,100,0.9900990099009901,85,,True
ХС общий,float64,91,0.900990099009901,82,,True
Общий белок,float64,98,0.9702970297029703,26,,True
ЛПНП,float64,71,0.7029702970297029,63,,True
ЛПВП,float64,71,0.7029702970297029,54,,True
ТГ,float64,71,0.7029702970297029,59,,True
глюкоза,float64,79,0.7821782178217822,56,,True
калий,float64,97,0.9603960396039604,77,,True
натрий,float64,97,0.9603960396039604,71,,True
хлор,float64,97,0.9603960396039604,67,,True
"АКШ кол-во шунтов,общее",float64,101,1.0,5,,True
кол-во вен шунт (в),float64,101,1.0,4,,True
кол-во артер шунт (а),float64,101,1.0,3,,True
кол-во мамм (м),float64,101,1.0,4,,True
"Время ИК, мин",float64,101,1.0,57,,True
На работающем сердце,float64,101,1.0,2,,True
Время ОА,float64,100,0.9900990099009901,51,,True
Бак эндокардит,float64,101,1.0,1,const;,False
ФВ до операции,float64,96,0.9504950495049505,34,,True
Курение,float64,101,1.0,2,,True
Индекс пачка/лет,float64,77,0.7623762376237624,14,,True
Артериальная гипертония,float64,101,1.0,2,,True
СД,float64,101,1.0,2,,True
Наличие ожирения,float64,101,1.0,2,,True
I степень ожирения,float64,101,1.0,2,,True
II степень ожирения,float64,101,1.0,2,,True
III степень ожирения,float64,101,1.0,2,,True
Рост,float64,101,1.0,29,,True
Вес,float64,101,1.0,47,,True
ТИМ шеи,float64,92,0.9108910891089109,8,,True
