feature,dtype,nonnull_count,nonnull_ratio,nunique,drop_reason,kept
лет,float64,30,0.5084745762711864,15,,True
пол,float64,53,0.8983050847457628,2,,True
Общие лейкоциты,float64,57,0.9661016949152542,43,,True
Гранулоциты,float64,56,0.9491525423728814,50,,True
Гранулоциты абс.,float64,26,0.4406779661016949,26,,True
"Нейтрофилы пал/яд, %",float64,28,0.4745762711864407,14,,True
"Нейтрофилы пал/яд, абс",float64,22,0.3728813559322034,18,,True
"Нейтрофилы сегм/яд, %",float64,54,0.9152542372881356,48,,True
"Нейтрофилы сегм/яд, абс",float64,47,0.7966101694915254,45,,True
"Базофилы, %",float64,52,0.8813559322033898,14,,True
"Базофилы, абс",float64,47,0.7966101694915254,30,,True
"Эозинофилы, %",float64,53,0.8983050847457628,24,,True
"Эозинофилы, абс",float64,47,0.7966101694915254,39,,True
"Моноциты, %",float64,54,0.9152542372881356,37,,True
"Моноциты, абс",float64,41,0.6949152542372882,38,,True
"Лимфоциты, %",float64,53,0.8983050847457628,48,,True
"Лимфоциты, абс",float64,41,0.6949152542372882,39,,True
ЛИИ,float64,41,0.6949152542372882,34,,True
CD3+,float64,59,1.0,56,,True
Th,float64,59,1.0,57,,True
CD3+CD4-(Tcyt),float64,59,1.0,57,,True
T-reg,float64,59,1.0,57,,True
Expres T-reg_CD62L,float64,59,1.0,55,,True
T-regCD62L,float64,59,1.0,57,,True
CD3+CD45R0-,float64,59,1.0,57,,True
CD3+CD45R0+,float64,59,1.0,57,,True
Expres CD3+_CD25,float64,59,1.0,51,,True
CD3+CD25+,float64,59,1.0,56,,True
CD3+CD45R+CD62L-,float64,59,1.0,57,,True
CD3+CD45R+CD62L+,float64,59,1.0,55,,True
CD3+CD45R0-CD62L-,float64,59,1.0,57,,True
CD3+CD45R-CD62L+,float64,59,1.0,57,,True
CD3+CD4+CD45R0+CD62L-,float64,59,1.0,57,,True
CD3+CD4+CD45R0+CD62L+,float64,59,1.0,57,,True
CD3+CD4+CD45R0-CD62L-,float64,59,1.0,56,,True
CD3+CD4+CD45R0-CD62L+,float64,59,1.0,56,,True
CD3+CD4-CD45R0+CD62L-,float64,59,1.0,57,,True
CD3+CD4-CD45R0+CD62L+,float64,59,1.0,57,,True
CD3+CD4-CD45R0-CD62L-,float64,59,1.0,57,,True
CD3+CD4-CD45R0-CD62L+,float64,59,1.0,57,,True
T-reg CD45R0+CD62L-,float64,59,1.0,56,,True
T-reg CD45R0+CD62L+,float64,59,1.0,57,,True
T-reg CD45R0-CD62L-,float64,45,0.7627118644067796,32,,True
T-reg CD45R0-CD62L+,float64,54,0.9152542372881356,48,,True
Expres CD3+CD4+CD25+,float64,59,1.0,51,,True
CD3+CD4+CD25+,float64,59,1.0,56,,True
Expres CD3+CD4-CD25+,float64,59,1.0,54,,True
CD3+CD4-CD25+,float64,59,1.0,56,,True
Expres CD3+CD45R0+CD62L-CD25+,float64,59,1.0,52,,True
CD3+CD45R0+CD62L-CD25+,float64,59,1.0,57,,True
Expres CD3+CD45R0+CD62L+CD25+,float64,59,1.0,51,,True
CD3+CD45R0+CD62L+CD25+,float64,59,1.0,57,,True
Expres CD3+CD45R0-CD62L-CD25+,float64,57,0.9661016949152542,48,,True
CD3+CD45R0-CD62L-CD25+,float64,57,0.9661016949152542,53,,True
Expres CD3+CD45R0-CD62L+CD25+,float64,58,0.9830508474576272,51,,True
CD3+CD45R0-CD62L+CD25+,float64,58,0.9830508474576272,55,,True
Exp CD3+CD4+CD45R0+CD62L-CD25+,float64,59,1.0,52,,True
CD3+CD4+CD45R0+CD62L-CD25+,float64,59,1.0,57,,True
Exp CD3+CD4+CD45R0+CD62L+CD25+,float64,59,1.0,55,,True
CD3+CD4+CD45R0+CD62L+CD25+,float64,59,1.0,56,,True
Exp CD3+CD4+CD45R0-CD62L-CD25+,float64,52,0.8813559322033898,47,,True
CD3+CD4+CD45R0-CD62L-CD25+,float64,52,0.8813559322033898,43,,True
Exp CD3+CD4+CD45R0-CD62L+CD25+,float64,58,0.9830508474576272,52,,True
CD3+CD4+CD45R0-CD62L+CD25+,float64,58,0.9830508474576272,56,,True
Expres CD3+CD4-CD45R0+CD62-CD25+,float64,53,0.8983050847457628,45,,True
CD3+CD4-CD45R0+CD62L-CD25+,float64,53,0.8983050847457628,50,,True
ExpresCD3+CD4-CD45R0+CD62L+CD25+,float64,57,0.9661016949152542,52,,True
CD3+CD4-CD45R0+CD62L+CD25+,float64,57,0.9661016949152542,51,,True
ExpresCD3+CD4-CD45R0-CD62L-CD25+,float64,45,0.7627118644067796,37,,True
CD3+CD4-CD45R0-CD62L-CD25+,float64,45,0.7627118644067796,36,,True
ExpresCD3+CD4-CD45R0-CD62L+CD25+,float64,50,0.847457627118644,44,,True
CD3+CD4-CD45R0-CD62L+CD25+,float64,50,0.847457627118644,40,,True
Expres Treg CD54R0+CD62L-CD25+,float64,59,1.0,52,,True
T-reg CD45R0+CD62L-CD25+,float64,59,1.0,56,,True
Expres Treg CD54R0+CD62L+CD25+,float64,59,1.0,54,,True
T-reg CD45R0+CD62L+CD25+,float64,59,1.0,56,,True
