feature,dtype,nonnull_count,nonnull_ratio,nunique,drop_reason,kept
Точка исследования,int64,50,1.0,1,const;,False
Количество санаций на момент исследования,float64,50,1.0,8,,True
Сопутствующая патология,float64,50,1.0,2,,True
Продолжительность заболевания до госпитализации,float64,50,1.0,9,,True
Причина перитонита,float64,50,1.0,13,,True
Продолжительность пребывания в РО (сут.),float64,50,1.0,25,,True
Продолжительность ИВЛ (Ч.),float64,41,0.82,28,,True
Продолжительность пребывания в ХО (сут.),float64,50,1.0,23,,True
Продолжительность лечения в ЦРБ,float64,50,1.0,16,,True
продолжительность пребывания в РО (сут.) ЦРБ,float64,42,0.84,8,,True
продолж-ть ИВЛ (Ч.) ЦРБ,float64,38,0.76,13,,True
продол-ть пребыв. в ХО (сут.) ЦРБ,float64,42,0.84,8,,True
Количество операций,float64,50,1.0,11,,True
SIRS,float64,50,1.0,4,,True
MIP,float64,50,1.0,11,,True
ИБП,float64,50,1.0,17,,True
Возбудитель,float64,50,1.0,5,,True
Степень тяжести,float64,50,1.0,5,,True
ИД течение,float64,18,0.36,2,,True
ИД этиология,float64,18,0.36,2,,True
Лейкоциты,float64,50,1.0,40,,True
СОЭ,float64,50,1.0,30,,True
юные %,float64,0,0.0,0,sparse;const;,False
юные,float64,0,0.0,0,sparse;const;,False
пал/яд %,float64,31,0.62,9,,True
пал/яд,float64,26,0.52,19,,True
сегм/ яд %,float64,31,0.62,21,,True
сегм/ яд,float64,26,0.52,26,,True
"Нейтрофилы, абс",float64,31,0.62,31,,True
баз. %,float64,32,0.64,4,,True
баз.,float64,27,0.54,17,,True
эоз. %,float64,32,0.64,6,,True
эоз.,float64,27,0.54,20,,True
мон. %,float64,32,0.64,13,,True
мон.,float64,27,0.54,24,,True
лимф. %,float64,31,0.62,18,,True
лимф.,float64,31,0.62,31,,True
IgA,float64,22,0.44,22,,True
IgG,float64,22,0.44,21,,True
IgM,float64,22,0.44,22,,True
IgE,float64,11,0.22,10,,True
IL-1B,float64,9,0.18,9,sparse;,False
IL-2,float64,7,0.14,7,sparse;,False
IL-4,float64,8,0.16,8,sparse;,False
INF-G,float64,9,0.18,9,sparse;,False
FNO,float64,7,0.14,5,sparse;,False
Hu IL-4,float64,5,0.1,5,sparse;,False
Hu IL-6,float64,14,0.28,14,,True
Hu IL-8,float64,14,0.28,14,,True
Hu IL-10,float64,13,0.26,10,,True
Hu GM-CSF,float64,5,0.1,5,sparse;,False
Hu IFN-g,float64,5,0.1,5,sparse;,False
Hu TNF-a,float64,11,0.22,8,,True
CD3+CD25+,float64,38,0.76,38,,True
CD3+CD4+CD127Low+CD25High+CD62l+,float64,33,0.66,33,,True
CD3+CD4+CD62l+,float64,32,0.64,32,,True
CD3+CD4+CD25+,float64,35,0.7,34,,True
CD3+,float64,38,0.76,38,,True
CD3+CD62l+,float64,33,0.66,33,,True
CD3+CD4+CD127Low+CD25High+,float64,38,0.76,38,,True
CD3+CD4+,float64,38,0.76,38,,True
CD3+CD4+abs,float64,31,0.62,31,,True
NeutCD62L+,float64,31,0.62,28,,True
MonoCD62L+,float64,17,0.34,17,,True
CD19+,float64,37,0.74,37,,True
CD19+CD27+CD23+,float64,20,0.4,20,,True
CD19+CD27-CD23+,float64,22,0.44,22,,True
CD19+CD5+CD23+,float64,21,0.42,21,,True
CD19+CD5-CD23+,float64,21,0.42,21,,True
CD19+CD27-,float64,37,0.74,37,,True
CD19+CD27+,float64,37,0.74,37,,True
CD27-/CD27+,float64,36,0.72,36,,True
CD19+CD27+CD38+,float64,5,0.1,5,sparse;,False
CD19+CD27-CD38+,float64,5,0.1,5,sparse;,False
CD19+CD5+,float64,37,0.74,37,,True
CD19+CD5-,float64,37,0.74,37,,True
CD5-/CD5+,float64,36,0.72,36,,True
CD19+CD5+CD38+,float64,5,0.1,5,sparse;,False
CD19+CD5-CD38+,float64,5,0.1,5,sparse;,False
CD19+CD23+,float64,22,0.44,22,,True
CD3+CD56+CD16-CD11b-,float64,31,0.62,13,,True
CD3+CD56+CD16-CD11b+,float64,32,0.64,30,,True
CD3+CD56-CD16+,float64,32,0.64,32,,True
CD3+CD56+CD16+,float64,32,0.64,32,,True
CD3+CD56+CD16+CD11b+,float64,31,0.62,27,,True
CD3+CD56-CD16+CD11b+,float64,30,0.6,28,,True
