feature,dtype,nonnull_count,nonnull_ratio,nunique,drop_reason,kept
Возраст,int64,55,1.0,37,,True
Шкала Глазго,float64,55,1.0,13,,True
HGB Гемоглобин,int64,55,1.0,40,,True
HCT Гематокрит,float64,55,1.0,46,,True
MCV Средний объем эритроцитов,float64,55,1.0,49,,True
MCH Среднее содержание гемоглобина в эритр.,float64,55,1.0,45,,True
MCHC Средняя концентрация гемоглобина в эритр.,float64,55,1.0,37,,True
RDW-CV Коэф.вариации отклонения размера эритр. от сред.зн.,float64,55,1.0,37,,True
PLT Тромбоциты,float64,54,0.9818181818181818,51,,True
PDW Индекс распределения по объему тромбоцитов,float64,51,0.9272727272727272,43,,True
MPV Средний объем тромбоцитов,float64,51,0.9272727272727272,28,,True
P-LCR Крупные тромбоциты,float64,51,0.9272727272727272,45,,True
PCT Тромбокрит,float64,51,0.9272727272727272,30,,True
Нейтрофилы,float64,54,0.9818181818181818,49,,True
Лимфоциты,float64,54,0.9818181818181818,46,,True
Моноциты,float64,54,0.9818181818181818,38,,True
Эозинофилы,float64,44,0.8,19,,True
Базофилы,float64,41,0.7454545454545455,9,,True
АЛТ,float64,55,1.0,50,,True
АСТ,float64,55,1.0,51,,True
Мочевина,float64,55,1.0,55,,True
Креатинин,float64,55,1.0,54,,True
Глюкоза,float64,55,1.0,55,,True
Общий белок,float64,55,1.0,51,,True
С-реактивный белок (СРБ),float64,55,1.0,55,,True
Калий,float64,55,1.0,48,,True
Натрий,float64,55,1.0,45,,True
Хлор,float64,55,1.0,49,,True
Скорость оседания эритроцитов,float64,54,0.9818181818181818,35,,True
МНО,float64,55,1.0,37,,True
Фибриноген,float64,55,1.0,47,,True
АЧТВ,float64,51,0.9272727272727272,50,,True
Амилаза,float64,55,1.0,55,,True
Билирубин общий,float64,54,0.9818181818181818,51,,True
Пол.1,float64,46,0.8363636363636363,2,,True
Возраст.1,float64,46,0.8363636363636363,31,,True
Шкала Глазго.1,float64,31,0.5636363636363636,11,,True
Шкала SOFA.1,float64,32,0.5818181818181818,18,,True
WBC Лейкоциты,float64,46,0.8363636363636363,42,,True
RBC Эритроциты,float64,46,0.8363636363636363,39,,True
HGB Гемоглобин.1,float64,46,0.8363636363636363,32,,True
HCT Гематокрит.1,float64,46,0.8363636363636363,42,,True
MCV Средний объем эритроцитов.1,float64,46,0.8363636363636363,42,,True
MCH Среднее содержание гемоглобина в эритр..1,float64,47,0.8545454545454545,35,,True
MCHC Средняя концентрация гемоглобина в эритр..1,float64,46,0.8363636363636363,31,,True
RDW-CV Коэф.вариации отклонения размера эритр. от сред.зн..1,float64,46,0.8363636363636363,37,,True
PLT Тромбоциты.1,float64,45,0.8181818181818182,43,,True
PDW Индекс распределения по объему тромбоцитов.1,float64,43,0.7818181818181819,36,,True
MPV Средний объем тромбоцитов.1,float64,43,0.7818181818181819,31,,True
P-LCR Крупные тромбоциты.1,float64,43,0.7818181818181819,41,,True
PCT Тромбокрит.1,float64,43,0.7818181818181819,28,,True
Нейтрофилы.1,float64,44,0.8,39,,True
Лимфоциты.1,float64,46,0.8363636363636363,34,,True
Моноциты.1,float64,46,0.8363636363636363,32,,True
Эозинофилы.1,float64,33,0.6,25,,True
Базофилы.1,float64,27,0.4909090909090909,14,,True
АЛТ.1,float64,42,0.7636363636363637,39,,True
АСТ.1,float64,42,0.7636363636363637,40,,True
Мочевина.1,float64,42,0.7636363636363637,41,,True
Креатинин.1,float64,43,0.7818181818181819,42,,True
Глюкоза.1,float64,43,0.7818181818181819,41,,True
Общий белок.1,float64,43,0.7818181818181819,42,,True
С-реактивный белок (СРБ).1,float64,38,0.6909090909090909,38,,True
Калий.1,float64,43,0.7818181818181819,42,,True
Натрий.1,float64,43,0.7818181818181819,38,,True
Хлор.1,float64,43,0.7818181818181819,38,,True
Скорость оседания эритроцитов.1,float64,46,0.8363636363636363,32,,True
МНО.1,float64,38,0.6909090909090909,32,,True
Фибриноген.1,float64,38,0.6909090909090909,33,,True
АЧТВ.1,float64,33,0.6,33,,True
Амилаза.1,float64,37,0.6727272727272727,37,,True
Билирубин общий.1,float64,36,0.6545454545454545,35,,True
age,int64,55,1.0,37,,True
sex,string,55,1.0,2,,True
Пол,string,55,1.0,2,,True
